## Written with SHAMFI (Copyright (c) J. L. B. Line)
## Git describe: 1b81779
## Git date: Thu Jan 30 14:53:15 2020 +0800
## Git branch: master
SOURCE combined_woden P 0 G 5 S 2 7656
COMPONENT SHAPELET 3.399256 -37.277329
SCOEFF 5.0 44.0 -0.000165460990
SCOEFF 5.0 45.0 0.002017903199
SCOEFF 5.0 46.0 0.001063855431
SCOEFF 5.0 47.0 -0.000324306962
SCOEFF 5.0 48.0 -0.000601739307
SCOEFF 5.0 49.0 -0.000233289341
SCOEFF 5.0 50.0 -0.000802273730
SCOEFF 5.0 51.0 0.000038957835
SCOEFF 5.0 52.0 0.001053825881
SCOEFF 5.0 53.0 0.000560918662
SCOEFF 5.0 54.0 -0.000475570920
SCOEFF 5.0 55.0 -0.000161196106
SCOEFF 5.0 56.0 0.001004892966
SCOEFF 5.0 57.0 -0.000245701438
SCOEFF 5.0 58.0 0.000190899691
SCOEFF 5.0 59.0 0.000962147432
SCOEFF 5.0 60.0 -0.000797314202
SCOEFF 5.0 61.0 -0.001087264182
SCOEFF 5.0 62.0 -0.000647544840
SCOEFF 5.0 63.0 0.000658228862
SCOEFF 5.0 64.0 0.001835033407
SCOEFF 5.0 65.0 0.000576677533
SCOEFF 5.0 66.0 -0.001233704913
SCOEFF 5.0 67.0 -0.001461032652
SCOEFF 5.0 68.0 0.000447779610
SCOEFF 5.0 69.0 0.001342462406
SCOEFF 5.0 70.0 -0.000928599732
SCOEFF 5.0 71.0 -0.000150254902
SCOEFF 5.0 72.0 0.001057143057
SCOEFF 5.0 73.0 -0.000982593056
SCOEFF 5.0 74.0 0.000995518582
SCOEFF 5.0 75.0 0.001050544867
SCOEFF 5.0 76.0 -0.001284038141
SCOEFF 5.0 77.0 -0.001779274501
SCOEFF 5.0 78.0 0.000126937955
SCOEFF 5.0 79.0 0.002313019123
SCOEFF 5.0 80.0 0.000295726381
SCOEFF 5.0 81.0 -0.001060954823
SCOEFF 6.0 0.0 0.060889382001
SCOEFF 6.0 1.0 0.000765408587
SCOEFF 6.0 2.0 0.028980048969
SCOEFF 6.0 3.0 0.004343271081
SCOEFF 6.0 4.0 0.023529905429
SCOEFF 6.0 5.0 -0.000595820855
SCOEFF 6.0 6.0 0.019782842431
SCOEFF 6.0 7.0 -0.001428852364
SCOEFF 6.0 8.0 0.019536557970
SCOEFF 6.0 9.0 0.000280478622
SCOEFF 6.0 10.0 0.017713312959
SCOEFF 6.0 11.0 0.000681701551
SCOEFF 6.0 12.0 0.015282099694
SCOEFF 6.0 13.0 0.001873416301
SCOEFF 6.0 14.0 0.013834147238
SCOEFF 6.0 15.0 0.001367260851
SCOEFF 6.0 16.0 0.008172287652
SCOEFF 6.0 17.0 0.001029516765
SCOEFF 6.0 18.0 0.004001689102
SCOEFF 6.0 19.0 -0.001479528265
SCOEFF 6.0 20.0 0.002147915212
SCOEFF 6.0 21.0 0.000754070409
SCOEFF 6.0 22.0 0.003219221420
SCOEFF 6.0 23.0 0.000865011092
SCOEFF 6.0 24.0 0.003174413393
SCOEFF 6.0 25.0 -0.000656206531
SCOEFF 6.0 26.0 -0.000367026115
SCOEFF 6.0 27.0 -0.000916008996
SCOEFF 6.0 28.0 0.000435790484
SCOEFF 6.0 29.0 0.002680150133
SCOEFF 6.0 30.0 0.002811850410
SCOEFF 6.0 31.0 0.000350193157
SCOEFF 6.0 32.0 0.000283426732
SCOEFF 6.0 33.0 0.000106936324
SCOEFF 6.0 34.0 -0.000047392325
SCOEFF 6.0 35.0 -0.000613751957
SCOEFF 6.0 36.0 0.001099414777
SCOEFF 6.0 37.0 0.001511672612
SCOEFF 6.0 38.0 0.000848891527
SCOEFF 6.0 39.0 -0.002024765631
SCOEFF 6.0 40.0 -0.000621177087
SCOEFF 6.0 41.0 0.000428264574
SCOEFF 6.0 42.0 -0.000414442894
SCOEFF 6.0 43.0 0.000779397867
SCOEFF 6.0 44.0 0.003102988825
SCOEFF 6.0 45.0 -0.000113015945
SCOEFF 6.0 46.0 -0.002123573373
SCOEFF 6.0 47.0 -0.001659619970
SCOEFF 6.0 48.0 0.000611831754
SCOEFF 6.0 49.0 0.001845734033
SCOEFF 6.0 50.0 0.002249599554
SCOEFF 6.0 51.0 -0.002170217225
SCOEFF 6.0 52.0 -0.001385933648
SCOEFF 6.0 53.0 -0.000578891418
SCOEFF 6.0 54.0 0.001456319287
SCOEFF 6.0 55.0 0.002460719888
SCOEFF 6.0 56.0 -0.000472882577
SCOEFF 6.0 57.0 -0.000853116340
SCOEFF 6.0 58.0 -0.000200705918
SCOEFF 6.0 59.0 -0.001118562072
SCOEFF 6.0 60.0 0.000223706131
SCOEFF 6.0 61.0 0.001657298763
SCOEFF 6.0 62.0 0.000552868336
SCOEFF 6.0 63.0 -0.000721665436
SCOEFF 6.0 64.0 -0.001128428950
SCOEFF 6.0 65.0 0.000119263552
SCOEFF 6.0 66.0 0.001577276611
SCOEFF 6.0 67.0 -0.001136467188
SCOEFF 6.0 68.0 0.000144395877
SCOEFF 6.0 69.0 0.000556942463
SCOEFF 6.0 70.0 -0.001403395296
SCOEFF 6.0 71.0 0.001686877069
SCOEFF 6.0 72.0 0.000595261675
SCOEFF 6.0 73.0 -0.001363098866
SCOEFF 6.0 74.0 -0.000133154816
SCOEFF 6.0 75.0 -0.000399911324
SCOEFF 6.0 76.0 0.000989543966
SCOEFF 6.0 77.0 -0.000482024341
SCOEFF 6.0 78.0 0.000583046241
SCOEFF 6.0 79.0 0.000733153387
SCOEFF 6.0 80.0 -0.000970085938
SCOEFF 7.0 0.0 0.002250736874
